,0,1
0,1958.208,315.71
1,1958.292,317.45
2,1958.375,317.5
3,1958.542,315.86
4,1958.625,314.93
5,1958.708,313.2
6,1958.875,313.33
7,1958.958,314.67
8,1959.042,315.62
9,1959.125,316.38
10,1959.208,316.71
11,1959.292,317.72
12,1959.375,318.29
13,1959.458,318.15
14,1959.542,316.54
15,1959.625,314.8
16,1959.708,313.84
17,1959.792,313.26
18,1959.875,314.8
19,1959.958,315.58
20,1960.042,316.43
21,1960.125,316.97
22,1960.208,317.58
23,1960.292,319.02
24,1960.375,320.03
25,1960.458,319.59
26,1960.542,318.18
27,1960.625,315.91
28,1960.708,314.16
29,1960.792,313.83
30,1960.875,315.0
31,1960.958,316.19
32,1961.042,316.93
33,1961.125,317.7
34,1961.208,318.54
35,1961.292,319.48
36,1961.375,320.58
37,1961.458,319.77
38,1961.542,318.57
39,1961.625,316.79
40,1961.708,314.8
41,1961.792,315.38
42,1961.875,316.1
43,1961.958,317.01
44,1962.042,317.94
45,1962.125,318.56
46,1962.208,319.68
47,1962.292,320.63
48,1962.375,321.01
49,1962.458,320.55
50,1962.542,319.58
51,1962.625,317.4
52,1962.708,316.26
53,1962.792,315.42
54,1962.875,316.69
55,1962.958,317.69
56,1963.042,318.74
57,1963.125,319.08
58,1963.208,319.86
59,1963.292,321.39
60,1963.375,322.25
61,1963.458,321.47
62,1963.542,319.74
63,1963.625,317.77
64,1963.708,316.21
65,1963.792,315.99
66,1963.875,317.12
67,1963.958,318.31
68,1964.042,319.57
69,1964.375,322.25
70,1964.458,321.89
71,1964.542,320.44
72,1964.625,318.7
73,1964.708,316.7
74,1964.792,316.79
75,1964.875,317.79
76,1964.958,318.71
77,1965.042,319.44
78,1965.125,320.44
79,1965.208,320.89
80,1965.292,322.13
81,1965.375,322.16
82,1965.458,321.87
83,1965.542,321.39
84,1965.625,318.81
85,1965.708,317.81
86,1965.792,317.3
87,1965.875,318.87
88,1965.958,319.42
89,1966.042,320.62
90,1966.125,321.59
91,1966.208,322.39
92,1966.292,323.87
93,1966.375,324.01
94,1966.458,323.75
95,1966.542,322.39
96,1966.625,320.37
97,1966.708,318.64
98,1966.792,318.1
99,1966.875,319.79
100,1966.958,321.08
101,1967.042,322.07
102,1967.125,322.5
103,1967.208,323.04
104,1967.292,324.42
105,1967.375,325.0
